路径,年化收益,5年累计,最大回撤
774,27.49%,236.75%,-17.36%
775,8.76%,52.17%,-29.03%
776,43.98%,518.79%,-14.72%
777,3.74%,20.16%,-21.22%
778,15.93%,109.43%,-24.91%
779,35.61%,358.70%,-15.88%
780,51.64%,701.87%,-18.75%
781,16.20%,111.88%,-27.42%
782,27.88%,242.00%,-15.11%
783,21.78%,167.89%,-18.24%
784,27.05%,231.05%,-16.94%
785,45.56%,553.53%,-14.99%
786,11.33%,71.02%,-34.06%
787,12.93%,83.71%,-33.27%
788,12.05%,76.64%,-19.91%
789,35.84%,362.54%,-17.47%
790,19.84%,147.14%,-19.44%
791,40.69%,451.24%,-8.26%
792,30.47%,278.06%,-12.53%
793,24.96%,204.69%,-16.86%
794,32.88%,314.22%,-14.18%
795,19.73%,146.00%,-21.61%
796,20.00%,148.85%,-20.26%
797,31.94%,299.78%,-11.43%
798,30.68%,281.08%,-24.53%
799,16.07%,110.63%,-23.12%
800,40.87%,454.71%,-8.18%
801,22.17%,172.17%,-18.66%
802,30.71%,281.49%,-16.54%
803,21.54%,165.23%,-23.20%
804,53.27%,745.89%,-9.89%
805,26.02%,217.80%,-12.09%
806,23.07%,182.31%,-16.58%
807,13.01%,84.32%,-19.98%
808,41.21%,461.40%,-16.37%
809,11.73%,74.14%,-33.96%
810,42.48%,487.25%,-24.11%
811,35.45%,355.91%,-14.59%
812,48.39%,619.55%,-20.09%
813,36.59%,375.43%,-11.02%
814,23.68%,189.38%,-25.53%
815,29.32%,261.69%,-26.08%
816,32.40%,306.88%,-19.23%
817,22.48%,175.58%,-36.04%
818,18.31%,131.76%,-20.82%
819,36.66%,376.71%,-14.36%
820,19.15%,140.15%,-26.08%
821,30.92%,284.68%,-15.45%
822,28.13%,245.37%,-20.76%
823,11.61%,73.16%,-29.23%
824,13.74%,90.37%,-28.84%
825,30.04%,271.79%,-21.32%
826,36.26%,369.64%,-11.82%
827,36.12%,367.34%,-13.94%
828,26.71%,226.64%,-19.61%
829,24.84%,203.17%,-24.37%
830,18.59%,134.55%,-14.69%
831,11.02%,68.64%,-24.86%
832,31.03%,286.16%,-21.99%
833,36.10%,366.90%,-18.01%
834,24.07%,193.95%,-20.19%
835,18.86%,137.24%,-16.37%
836,48.58%,624.02%,-15.33%
837,28.03%,244.03%,-34.21%
838,9.46%,57.13%,-19.29%
839,10.71%,66.30%,-38.49%
840,29.26%,260.80%,-18.09%
841,47.08%,588.22%,-18.87%
842,11.36%,71.25%,-19.39%
843,22.25%,173.00%,-15.11%
844,33.24%,319.95%,-13.60%
845,31.04%,286.38%,-15.33%
846,33.53%,324.48%,-14.10%
847,22.50%,175.85%,-13.03%
848,25.58%,212.32%,-19.71%
849,43.06%,499.16%,-7.16%
850,27.03%,230.79%,-16.07%
851,23.96%,192.65%,-25.01%
852,34.62%,342.13%,-15.55%
853,6.86%,39.33%,-26.29%
854,48.24%,615.86%,-12.17%
855,14.58%,97.49%,-24.96%
856,33.89%,330.31%,-19.55%
857,37.54%,392.17%,-11.53%
858,9.46%,57.11%,-26.94%
859,12.04%,76.54%,-25.54%
860,23.24%,184.24%,-26.66%
861,54.81%,789.32%,-19.84%
862,40.11%,439.94%,-17.39%
863,20.00%,148.86%,-26.19%
864,37.67%,394.45%,-14.74%
865,58.88%,912.40%,-14.24%
866,19.06%,139.24%,-19.82%
867,37.19%,385.90%,-23.66%
868,10.42%,64.15%,-37.00%
869,20.02%,149.02%,-29.07%
870,42.94%,496.77%,-17.29%
871,31.79%,297.50%,-18.73%
872,33.02%,316.52%,-18.77%
873,10.47%,64.53%,-24.45%
874,38.03%,400.97%,-14.93%
875,38.31%,406.05%,-18.39%
876,23.77%,190.46%,-20.93%
877,42.04%,478.11%,-18.80%
878,16.63%,115.80%,-31.38%
879,13.44%,87.84%,-32.36%
880,22.26%,173.14%,-19.39%
881,39.53%,428.89%,-15.99%
882,35.75%,360.92%,-9.50%
883,18.56%,134.23%,-24.00%
884,28.94%,256.33%,-13.44%
885,26.48%,223.70%,-13.93%
886,20.31%,152.07%,-19.97%
887,12.91%,83.55%,-22.43%
888,10.96%,68.22%,-19.43%
889,18.36%,132.25%,-14.47%
890,31.92%,299.57%,-22.03%
891,26.31%,221.57%,-13.77%
892,29.39%,262.72%,-19.85%
893,7.22%,41.69%,-26.57%
894,18.36%,132.29%,-19.63%
895,33.22%,319.55%,-15.71%
896,26.81%,227.97%,-15.06%
897,35.59%,358.33%,-25.83%
898,6.46%,36.72%,-28.05%
899,47.42%,596.26%,-20.24%
900,46.16%,566.94%,-14.45%
901,36.65%,376.46%,-17.87%
902,22.77%,178.96%,-18.20%
903,23.24%,184.32%,-11.96%
904,28.80%,254.48%,-14.68%
905,27.89%,242.15%,-14.70%
906,14.29%,94.99%,-19.91%
907,19.89%,147.69%,-14.52%
908,9.16%,54.98%,-23.91%
909,63.30%,1061.12%,-17.16%
910,14.24%,94.58%,-10.36%
911,28.38%,248.67%,-11.15%
912,17.81%,126.93%,-15.87%
913,32.19%,303.64%,-13.41%
914,18.12%,129.98%,-21.26%
915,52.19%,716.54%,-13.16%
916,29.76%,267.89%,-12.05%
917,43.48%,508.04%,-8.92%
918,29.29%,261.24%,-9.89%
919,39.42%,426.74%,-9.48%
920,54.52%,780.96%,-13.11%
921,49.79%,653.97%,-17.48%
922,36.32%,370.74%,-12.99%
923,53.26%,745.57%,-7.72%
924,36.89%,380.73%,-14.23%
925,22.94%,180.82%,-18.05%
926,22.29%,173.46%,-12.80%
927,7.78%,45.45%,-45.32%
928,6.49%,36.97%,-22.81%
929,21.98%,170.09%,-30.53%
930,49.02%,634.89%,-9.93%
931,24.46%,198.62%,-30.49%
932,25.73%,214.24%,-11.29%
933,23.79%,190.71%,-17.03%
934,25.93%,216.65%,-24.46%
935,26.42%,222.94%,-15.21%
936,43.18%,501.71%,-15.03%
937,32.19%,303.60%,-11.92%
938,27.98%,243.31%,-13.56%
939,30.22%,274.42%,-12.41%
940,18.55%,134.14%,-17.83%
941,30.19%,274.02%,-20.35%
942,20.94%,158.73%,-20.78%
943,32.42%,307.22%,-20.89%
944,22.22%,172.68%,-20.79%
945,23.52%,187.57%,-22.44%
946,16.21%,111.91%,-15.66%
947,20.66%,155.74%,-14.27%
948,30.11%,272.81%,-9.61%
949,37.39%,389.55%,-16.37%
950,26.34%,221.85%,-26.08%
951,33.17%,318.82%,-19.89%
952,37.93%,399.29%,-16.56%
953,9.35%,56.33%,-22.69%
954,16.86%,117.98%,-23.34%
955,41.88%,474.97%,-13.46%
956,20.47%,153.78%,-14.62%
957,33.24%,319.96%,-16.81%
958,28.16%,245.79%,-17.19%
959,28.74%,253.66%,-12.64%
960,37.35%,388.84%,-16.64%
961,10.39%,63.92%,-25.30%
962,38.96%,418.07%,-27.52%
963,48.76%,628.46%,-10.38%
964,33.63%,326.05%,-14.17%
965,23.69%,189.57%,-11.89%
966,21.29%,162.45%,-23.05%
967,25.07%,206.06%,-16.08%
968,16.60%,115.50%,-27.84%
969,19.03%,138.89%,-24.93%
970,31.21%,288.83%,-11.03%
971,22.93%,180.73%,-17.33%
972,17.19%,121.05%,-19.63%
973,25.37%,209.66%,-12.91%
974,39.38%,426.07%,-8.58%
975,35.06%,349.32%,-18.33%
976,14.96%,100.75%,-23.28%
977,29.55%,264.91%,-17.31%
978,18.89%,137.56%,-11.42%
979,37.75%,396.01%,-15.70%
980,21.70%,166.95%,-31.00%
981,39.48%,427.83%,-12.59%
982,10.94%,68.08%,-26.55%
983,20.22%,151.14%,-13.32%
984,67.45%,1216.42%,-11.99%
985,9.63%,58.39%,-23.18%
986,48.50%,622.14%,-10.10%
987,50.44%,670.55%,-17.04%
988,51.07%,686.96%,-9.58%
989,37.64%,393.97%,-8.58%
990,13.43%,87.79%,-30.09%
991,39.50%,428.31%,-15.24%
992,31.11%,287.45%,-14.24%
993,55.40%,806.28%,-17.41%
994,20.55%,154.54%,-28.25%
995,21.00%,159.32%,-17.44%
996,35.64%,359.14%,-10.98%
997,2.26%,11.81%,-34.02%
998,27.65%,238.89%,-19.49%
999,12.54%,80.48%,-21.97%
1000,38.54%,410.40%,-11.48%
