路径,年化收益,5年累计,最大回撤
177,22.22%,172.69%,-20.09%
178,33.66%,326.58%,-20.10%
179,38.40%,407.74%,-9.60%
180,42.61%,489.82%,-13.27%
181,22.19%,172.35%,-21.04%
182,47.45%,597.10%,-17.89%
183,32.37%,306.40%,-13.48%
184,25.59%,212.46%,-21.81%
185,36.63%,376.13%,-25.17%
186,34.64%,342.51%,-12.84%
187,54.76%,787.81%,-11.31%
188,52.75%,731.55%,-10.60%
189,20.33%,152.26%,-20.06%
190,40.36%,444.71%,-15.79%
191,31.72%,296.45%,-26.70%
192,36.71%,377.61%,-13.21%
193,34.10%,333.58%,-14.98%
194,22.33%,173.97%,-21.52%
195,18.05%,129.31%,-16.68%
196,29.66%,266.47%,-20.30%
197,45.70%,556.69%,-11.79%
198,32.70%,311.47%,-10.88%
199,28.79%,254.36%,-11.98%
200,22.75%,178.65%,-24.99%
201,18.44%,133.06%,-20.51%
202,22.10%,171.33%,-22.62%
203,38.93%,417.68%,-10.03%
204,26.44%,223.20%,-14.79%
205,16.58%,115.30%,-18.50%
206,33.80%,328.78%,-20.16%
207,49.11%,637.09%,-17.81%
208,18.81%,136.78%,-20.78%
209,23.55%,187.84%,-17.99%
210,32.83%,313.45%,-18.09%
211,30.19%,274.07%,-16.73%
212,27.42%,235.87%,-13.44%
213,15.57%,106.21%,-13.20%
214,38.84%,415.89%,-14.92%
215,18.50%,133.67%,-16.76%
216,16.33%,113.03%,-26.30%
217,38.00%,400.50%,-17.02%
218,24.80%,202.68%,-28.07%
219,21.33%,162.92%,-13.19%
220,42.40%,485.57%,-12.59%
221,28.80%,254.52%,-16.84%
222,33.33%,321.36%,-17.23%
223,46.23%,568.58%,-14.81%
224,42.42%,485.89%,-23.40%
225,29.06%,258.12%,-13.52%
226,40.16%,440.93%,-17.36%
227,14.06%,93.02%,-13.05%
228,42.33%,484.02%,-10.51%
229,34.69%,343.33%,-25.44%
230,27.76%,240.36%,-13.22%
231,13.10%,85.07%,-18.34%
232,46.44%,573.45%,-14.80%
233,34.50%,340.15%,-16.95%
234,22.85%,179.85%,-16.07%
235,32.84%,313.64%,-11.91%
236,18.15%,130.27%,-32.18%
237,41.05%,458.20%,-28.06%
238,35.87%,363.02%,-16.34%
239,26.36%,222.20%,-15.62%
240,20.29%,151.89%,-15.41%
241,11.18%,69.88%,-28.70%
242,32.45%,307.64%,-17.50%
243,6.57%,37.44%,-19.68%
244,30.39%,276.92%,-16.25%
245,34.92%,347.07%,-16.51%
246,37.32%,388.24%,-19.03%
247,19.55%,144.21%,-25.33%
248,41.21%,461.56%,-13.90%
249,33.10%,317.66%,-12.76%
250,38.15%,403.29%,-11.91%
251,19.80%,146.73%,-12.71%
252,18.30%,131.74%,-17.48%
253,11.04%,68.78%,-20.06%
254,17.86%,127.38%,-18.23%
255,26.30%,221.39%,-18.60%
256,11.60%,73.08%,-14.19%
257,15.51%,105.65%,-31.83%
258,29.91%,269.95%,-12.08%
259,31.23%,289.22%,-9.76%
260,32.98%,315.88%,-17.20%
261,31.63%,295.11%,-11.33%
262,26.20%,220.17%,-17.69%
263,29.24%,260.56%,-13.26%
264,31.45%,292.45%,-17.17%
265,26.41%,222.84%,-15.94%
266,5.23%,29.03%,-42.23%
267,22.19%,172.43%,-16.45%
268,16.56%,115.19%,-13.12%
269,45.28%,547.14%,-13.70%
270,3.97%,21.48%,-25.61%
271,28.31%,247.82%,-20.97%
272,31.01%,285.93%,-14.05%
273,44.98%,540.46%,-19.31%
274,31.00%,285.74%,-18.70%
275,23.15%,183.28%,-17.11%
276,21.98%,170.08%,-14.49%
277,36.24%,369.46%,-11.51%
278,27.80%,240.96%,-14.60%
279,27.13%,232.02%,-12.56%
280,27.96%,243.07%,-16.10%
281,46.35%,571.40%,-16.74%
282,40.12%,440.22%,-17.98%
283,27.99%,243.42%,-16.38%
284,14.95%,100.67%,-19.98%
285,18.15%,130.28%,-14.32%
286,20.69%,156.10%,-16.82%
287,21.54%,165.23%,-14.69%
288,37.95%,399.57%,-12.47%
289,16.77%,117.10%,-18.61%
290,19.30%,141.62%,-22.58%
291,44.29%,525.40%,-20.80%
292,9.39%,56.64%,-17.46%
293,19.39%,142.62%,-19.82%
294,67.53%,1219.57%,-10.93%
295,29.91%,269.97%,-32.07%
296,47.12%,589.17%,-23.02%
297,10.97%,68.29%,-36.71%
298,28.91%,256.02%,-23.07%
299,33.67%,326.80%,-18.96%
300,39.15%,421.78%,-9.52%
301,43.29%,504.02%,-16.42%
302,20.07%,149.53%,-23.12%
303,50.35%,668.39%,-11.21%
304,27.32%,234.53%,-22.31%
305,27.85%,241.56%,-12.26%
306,36.41%,372.30%,-12.82%
307,29.64%,266.17%,-13.67%
308,33.48%,323.76%,-19.82%
309,12.39%,79.36%,-18.82%
310,20.67%,155.84%,-20.30%
311,19.58%,144.48%,-15.65%
312,19.75%,146.30%,-20.95%
313,19.94%,148.21%,-24.03%
314,33.24%,320.00%,-18.74%
315,56.42%,836.46%,-12.03%
316,30.34%,276.20%,-11.24%
317,23.35%,185.58%,-16.61%
318,33.27%,320.46%,-10.44%
319,22.24%,172.98%,-13.69%
320,42.94%,496.75%,-21.94%
321,30.78%,282.60%,-13.27%
322,16.19%,111.80%,-29.17%
323,31.10%,287.26%,-14.42%
324,11.09%,69.18%,-16.33%
325,38.10%,402.38%,-21.50%
326,34.95%,347.56%,-15.50%
327,22.17%,172.13%,-13.90%
328,18.14%,130.09%,-18.71%
329,38.21%,404.37%,-18.37%
330,36.10%,367.05%,-13.18%
331,57.33%,863.85%,-9.00%
332,20.44%,153.40%,-17.90%
333,55.83%,818.93%,-10.36%
334,31.43%,292.10%,-17.40%
335,11.65%,73.49%,-27.40%
336,32.49%,308.30%,-13.15%
337,25.08%,206.17%,-22.38%
338,30.24%,274.68%,-19.95%
339,31.03%,286.28%,-15.33%
340,22.22%,172.67%,-17.83%
341,9.21%,55.33%,-12.47%
342,25.08%,206.14%,-18.87%
343,21.50%,164.76%,-17.22%
344,26.45%,223.30%,-12.67%
345,20.46%,153.65%,-35.58%
346,51.40%,695.47%,-10.12%
347,25.71%,213.96%,-14.38%
348,14.65%,98.09%,-31.89%
349,12.39%,79.29%,-42.41%
350,13.82%,91.01%,-13.70%
351,53.41%,749.78%,-21.34%
352,34.13%,334.20%,-24.30%
353,51.50%,698.13%,-10.26%
354,34.67%,342.98%,-13.47%
355,60.87%,977.37%,-13.75%
356,28.82%,254.76%,-11.54%
357,33.35%,321.60%,-12.11%
358,39.04%,419.67%,-14.89%
359,29.26%,260.80%,-16.12%
360,38.61%,411.61%,-13.43%
361,30.79%,282.72%,-16.60%
362,40.85%,454.40%,-16.90%
363,24.44%,198.39%,-16.17%
364,34.98%,348.08%,-10.94%
365,28.12%,245.20%,-12.87%
366,28.74%,253.65%,-16.22%
367,13.65%,89.59%,-25.51%
368,15.87%,108.83%,-15.35%
369,26.00%,217.59%,-18.87%
370,28.47%,249.93%,-24.59%
371,38.67%,412.72%,-11.02%
372,17.18%,120.98%,-29.35%
373,19.00%,138.61%,-14.31%
374,15.57%,106.16%,-14.23%
375,27.68%,239.31%,-13.49%
376,26.00%,217.52%,-14.52%
377,38.66%,412.56%,-15.08%
378,24.58%,200.09%,-15.20%
379,54.76%,787.64%,-11.99%
380,34.48%,339.81%,-11.75%
381,31.30%,290.22%,-17.26%
382,24.28%,196.54%,-17.66%
383,25.21%,207.72%,-23.52%
384,26.08%,218.61%,-14.03%
385,33.24%,319.90%,-13.49%
386,25.25%,208.22%,-18.20%
387,20.26%,151.55%,-19.18%
388,43.17%,501.54%,-23.76%
389,37.28%,387.60%,-11.25%
390,39.85%,435.04%,-15.54%
391,26.46%,223.45%,-12.37%
392,30.68%,281.07%,-20.56%
393,22.95%,180.90%,-14.66%
394,21.19%,161.37%,-15.92%
395,35.69%,359.98%,-18.28%
396,68.33%,1251.56%,-10.42%
397,22.65%,177.51%,-14.02%
398,46.75%,580.49%,-17.21%
399,27.57%,237.93%,-18.37%
400,14.48%,96.66%,-17.21%
401,36.10%,366.91%,-15.77%
402,28.97%,256.86%,-20.82%
403,42.89%,495.60%,-9.19%
404,50.84%,680.85%,-9.04%
405,36.14%,367.59%,-14.27%
406,26.38%,222.42%,-25.73%
407,43.70%,512.73%,-13.85%
408,54.03%,766.88%,-9.53%
409,24.79%,202.57%,-18.64%
410,24.27%,196.31%,-19.49%
411,7.58%,44.10%,-17.90%
412,39.73%,432.72%,-14.68%
413,46.06%,564.83%,-11.66%
414,44.52%,530.35%,-11.73%
415,37.28%,387.58%,-9.87%
416,38.27%,405.47%,-10.29%
417,32.93%,315.07%,-15.22%
418,34.14%,334.29%,-11.36%
419,25.04%,205.64%,-22.44%
420,33.41%,322.63%,-13.53%
421,41.48%,466.85%,-20.21%
422,48.84%,630.58%,-13.15%
423,31.90%,299.24%,-13.42%
424,28.52%,250.65%,-19.16%
425,32.39%,306.67%,-14.46%
426,24.15%,194.89%,-25.65%
427,6.94%,39.84%,-22.82%
428,16.74%,116.85%,-19.52%
429,41.73%,471.90%,-10.71%
430,23.65%,189.05%,-19.19%
431,43.97%,518.52%,-16.19%
432,28.87%,255.47%,-11.27%
433,44.78%,536.23%,-14.51%
434,23.32%,185.26%,-22.25%
435,18.15%,130.22%,-14.88%
436,38.58%,411.10%,-15.30%
437,39.89%,435.68%,-14.52%
438,7.89%,46.21%,-28.51%
439,32.49%,308.26%,-20.47%
440,20.42%,153.25%,-15.14%
441,28.71%,253.24%,-17.77%
442,64.07%,1088.97%,-7.21%
443,43.94%,517.85%,-17.54%
444,39.74%,432.77%,-19.17%
445,33.16%,318.67%,-12.58%
446,33.23%,319.75%,-15.92%
447,10.55%,65.14%,-15.97%
448,34.23%,335.69%,-11.75%
449,29.75%,267.67%,-18.94%
450,29.28%,261.09%,-11.26%
451,36.42%,372.42%,-14.50%
452,42.64%,490.52%,-15.03%
453,31.25%,289.46%,-16.24%
454,60.57%,967.32%,-12.75%
455,32.71%,311.62%,-9.60%
456,5.14%,28.47%,-43.28%
457,36.27%,369.81%,-16.10%
458,20.95%,158.87%,-15.85%
459,30.24%,274.75%,-20.31%
460,9.65%,58.48%,-45.35%
461,32.80%,313.01%,-27.38%
462,25.14%,206.94%,-25.83%
463,28.92%,256.13%,-15.03%
464,24.11%,194.47%,-18.63%
465,39.26%,423.84%,-11.73%
466,28.13%,245.31%,-20.24%
467,28.28%,247.44%,-12.17%
468,44.21%,523.71%,-11.13%
469,6.74%,38.57%,-23.29%
470,31.30%,290.20%,-16.34%
471,32.85%,313.78%,-12.04%
472,31.99%,300.53%,-17.48%
473,31.60%,294.78%,-12.24%
474,68.07%,1241.10%,-8.94%
475,26.00%,217.52%,-41.01%
476,39.50%,428.26%,-11.87%
477,37.74%,395.77%,-5.23%
478,38.61%,411.71%,-17.39%
479,6.92%,39.75%,-21.16%
480,31.19%,288.62%,-15.06%
481,6.87%,39.39%,-24.38%
482,12.41%,79.48%,-30.07%
483,6.52%,37.15%,-22.93%
484,22.18%,172.25%,-23.24%
485,32.90%,314.53%,-11.42%
486,25.57%,212.17%,-19.51%
487,17.18%,120.90%,-14.66%
488,3.88%,20.98%,-22.94%
489,11.89%,75.40%,-15.94%
490,32.20%,303.73%,-14.31%
491,34.18%,335.03%,-38.05%
492,31.54%,293.88%,-9.30%
