路径编号,5年总收益率,年化收益率,最大回撤,20万终值(万)
620,663.8%,50.2%,-15.6%,152.8
621,1664.6%,77.6%,-10.3%,352.9
622,933.8%,59.5%,-16.1%,206.8
623,1073.2%,63.6%,-10.3%,234.6
624,762.6%,53.9%,-10.3%,172.5
625,401.4%,38.1%,-15.1%,100.3
626,449.8%,40.6%,-18.4%,110.0
627,792.3%,54.9%,-17.7%,178.5
628,314.6%,32.9%,-15.4%,82.9
629,459.9%,41.1%,-13.2%,112.0
630,749.4%,53.4%,-12.2%,169.9
631,1099.5%,64.4%,-6.9%,239.9
632,630.0%,48.8%,-10.3%,146.0
633,790.0%,54.8%,-12.2%,178.0
634,804.0%,55.3%,-19.6%,180.8
635,550.3%,45.4%,-10.3%,130.1
636,911.7%,58.9%,-16.6%,202.3
637,762.9%,53.9%,-20.1%,172.6
638,289.2%,31.2%,-25.1%,77.8
639,914.8%,59.0%,-21.7%,203.0
640,1015.0%,62.0%,-14.2%,223.0
641,871.8%,57.6%,-10.9%,194.4
642,771.5%,54.2%,-13.3%,174.3
643,811.8%,55.6%,-10.4%,182.4
644,781.6%,54.5%,-10.3%,176.3
645,479.4%,42.1%,-15.7%,115.9
646,597.6%,47.5%,-13.4%,139.5
647,1168.2%,66.2%,-14.5%,253.6
648,1376.8%,71.3%,-10.3%,295.4
649,867.4%,57.4%,-17.9%,193.5
650,1076.2%,63.7%,-13.4%,235.2
651,512.9%,43.7%,-17.6%,122.6
652,401.9%,38.1%,-11.9%,100.4
653,2513.6%,92.1%,-10.3%,522.7
654,1233.0%,67.9%,-10.3%,266.6
655,424.3%,39.3%,-17.6%,104.9
656,1513.9%,74.4%,-16.5%,322.8
657,1236.5%,68.0%,-16.5%,267.3
658,922.5%,59.2%,-15.4%,204.5
659,202.4%,24.8%,-22.9%,60.5
660,1040.9%,62.7%,-16.5%,228.2
661,862.4%,57.3%,-10.5%,192.5
662,475.8%,41.9%,-23.7%,115.2
663,2042.2%,84.6%,-10.4%,428.4
664,669.3%,50.4%,-23.5%,153.9
665,873.5%,57.6%,-16.5%,194.7
666,575.9%,46.5%,-13.2%,135.2
667,987.6%,61.2%,-10.3%,217.5
668,530.9%,44.5%,-20.9%,126.2
669,624.1%,48.6%,-10.3%,144.8
670,1950.5%,83.0%,-11.5%,410.1
671,931.5%,59.5%,-10.3%,206.3
672,586.8%,47.0%,-12.3%,137.4
673,815.7%,55.7%,-20.6%,183.1
674,1070.4%,63.6%,-17.9%,234.1
675,940.1%,59.7%,-13.6%,208.0
676,338.9%,34.4%,-17.8%,87.8
677,549.2%,45.4%,-16.6%,129.8
678,334.5%,34.2%,-20.1%,86.9
679,1793.2%,80.1%,-11.8%,378.6
680,473.8%,41.8%,-9.0%,114.8
681,940.3%,59.7%,-10.4%,208.1
682,353.9%,35.3%,-12.5%,90.8
683,254.3%,28.8%,-15.9%,70.9
684,602.9%,47.7%,-13.7%,140.6
685,2659.6%,94.2%,-14.4%,551.9
686,251.4%,28.6%,-21.7%,70.3
687,387.2%,37.3%,-19.0%,97.4
688,624.7%,48.6%,-17.6%,144.9
689,1071.7%,63.6%,-10.4%,234.3
690,228.4%,26.8%,-25.1%,65.7
691,464.8%,41.4%,-19.5%,113.0
692,303.7%,32.2%,-17.4%,80.7
693,883.1%,58.0%,-15.2%,196.6
694,1042.7%,62.8%,-16.5%,228.5
695,358.8%,35.6%,-15.1%,91.8
696,315.7%,33.0%,-29.1%,83.1
697,372.7%,36.4%,-11.9%,94.5
698,753.0%,53.5%,-12.2%,170.6
699,1234.5%,67.9%,-6.9%,266.9
700,823.7%,56.0%,-22.0%,184.7
701,625.8%,48.7%,-16.8%,145.2
702,1925.3%,82.5%,-6.9%,405.1
703,834.0%,56.3%,-10.0%,186.8
704,574.7%,46.5%,-20.8%,134.9
705,557.8%,45.8%,-14.6%,131.6
706,1017.9%,62.1%,-24.8%,223.6
707,680.4%,50.8%,-12.3%,156.1
708,470.7%,41.7%,-10.3%,114.1
709,1319.5%,70.0%,-11.1%,283.9
710,368.5%,36.2%,-22.6%,93.7
711,1427.3%,72.5%,-18.7%,305.5
712,1810.5%,80.4%,-16.5%,382.1
713,808.4%,55.5%,-12.2%,181.7
714,512.7%,43.7%,-15.6%,122.5
715,998.5%,61.5%,-7.1%,219.7
716,140.3%,19.2%,-30.2%,48.1
717,481.3%,42.2%,-10.3%,116.3
718,1103.3%,64.5%,-9.0%,240.7
719,564.3%,46.0%,-13.2%,132.9
720,787.4%,54.7%,-12.9%,177.5
721,620.4%,48.4%,-10.3%,144.1
722,1557.8%,75.3%,-12.4%,331.6
723,442.1%,40.2%,-21.1%,108.4
724,592.3%,47.3%,-14.8%,138.5
725,1339.9%,70.5%,-12.2%,288.0
726,727.1%,52.6%,-19.3%,165.4
727,976.2%,60.8%,-10.3%,215.2
728,488.7%,42.6%,-19.5%,117.7
729,330.0%,33.9%,-12.9%,86.0
730,661.8%,50.1%,-19.5%,152.4
731,824.1%,56.0%,-19.5%,184.8
732,1598.7%,76.2%,-23.9%,339.7
733,1372.5%,71.2%,-3.3%,294.5
734,428.1%,39.5%,-10.3%,105.6
735,1246.5%,68.2%,-25.7%,269.3
736,3362.8%,103.2%,-27.2%,692.6
737,327.4%,33.7%,-37.1%,85.5
738,771.8%,54.2%,-12.3%,174.4
739,629.2%,48.8%,-10.0%,145.8
740,1115.4%,64.8%,-13.2%,243.1
741,202.0%,24.7%,-18.4%,60.4
742,509.6%,43.6%,-20.3%,121.9
743,530.7%,44.5%,-25.5%,126.1
744,933.9%,59.6%,-30.1%,206.8
745,833.8%,56.3%,-17.0%,186.8
746,521.0%,44.1%,-10.3%,124.2
747,1636.0%,77.0%,-22.2%,347.2
748,248.3%,28.3%,-29.9%,69.7
749,699.8%,51.6%,-10.3%,160.0
750,1927.2%,82.5%,-10.3%,405.4
751,765.7%,54.0%,-12.2%,173.1
752,315.0%,32.9%,-13.6%,83.0
753,539.8%,44.9%,-10.3%,128.0
754,1272.5%,68.9%,-24.2%,274.5
755,221.4%,26.3%,-18.0%,64.3
756,591.5%,47.2%,-17.3%,138.3
757,810.6%,55.5%,-11.0%,182.1
758,702.8%,51.7%,-16.5%,160.6
759,1090.1%,64.1%,-12.2%,238.0
760,827.2%,56.1%,-10.6%,185.4
761,1445.0%,72.9%,-10.3%,309.0
762,2046.6%,84.7%,-15.2%,429.3
763,1593.2%,76.1%,-12.2%,338.6
764,1225.9%,67.7%,-10.3%,265.2
765,1567.6%,75.6%,-10.3%,333.5
766,770.1%,54.1%,-13.0%,174.0
767,661.5%,50.1%,-10.3%,152.3
768,636.6%,49.1%,-10.3%,147.3
769,613.9%,48.2%,-12.1%,142.8
770,538.1%,44.9%,-16.5%,127.6
771,1360.6%,71.0%,-10.3%,292.1
772,1007.7%,61.8%,-11.1%,221.5
773,1032.1%,62.5%,-21.9%,226.4
774,1987.7%,83.6%,-10.3%,417.5
775,2098.3%,85.5%,-13.3%,439.7
776,300.8%,32.0%,-23.3%,80.2
777,954.5%,60.2%,-11.7%,210.9
778,340.0%,34.5%,-19.4%,88.0
779,591.6%,47.2%,-13.2%,138.3
780,814.6%,55.7%,-11.1%,182.9
781,827.5%,56.1%,-9.0%,185.5
782,584.9%,46.9%,-19.2%,137.0
783,492.0%,42.7%,-10.3%,118.4
784,518.6%,44.0%,-15.5%,123.7
785,465.2%,41.4%,-26.8%,113.0
786,785.1%,54.7%,-13.3%,177.0
787,1306.1%,69.7%,-6.9%,281.2
788,998.6%,61.5%,-12.0%,219.7
789,239.3%,27.7%,-15.2%,67.9
790,609.9%,48.0%,-16.0%,142.0
791,1163.0%,66.1%,-10.4%,252.6
792,504.6%,43.3%,-26.8%,120.9
793,810.3%,55.5%,-10.3%,182.1
794,565.9%,46.1%,-25.1%,133.2
795,954.6%,60.2%,-10.4%,210.9
796,405.9%,38.3%,-16.1%,101.2
797,627.2%,48.7%,-16.5%,145.4
798,496.9%,43.0%,-18.7%,119.4
799,635.5%,49.0%,-11.9%,147.1
800,570.9%,46.3%,-13.1%,134.2
801,387.2%,37.3%,-13.5%,97.4
802,472.8%,41.8%,-17.4%,114.6
803,907.9%,58.7%,-10.3%,201.6
804,1752.5%,79.3%,-13.0%,370.5
805,621.0%,48.5%,-14.2%,144.2
806,267.9%,29.8%,-30.5%,73.6
807,1043.4%,62.8%,-11.4%,228.7
808,1008.7%,61.8%,-13.7%,221.7
809,2938.7%,97.9%,-6.9%,607.7
810,628.6%,48.8%,-21.9%,145.7
811,464.3%,41.4%,-13.6%,112.9
812,247.6%,28.3%,-21.2%,69.5
813,1227.0%,67.7%,-10.9%,265.4
814,1599.9%,76.2%,-16.5%,340.0
815,570.3%,46.3%,-18.3%,134.1
816,443.6%,40.3%,-13.3%,108.7
817,1365.7%,71.1%,-10.3%,293.1
818,558.6%,45.8%,-14.3%,131.7
819,538.0%,44.9%,-27.3%,127.6
820,681.1%,50.8%,-15.0%,156.2
821,1158.8%,66.0%,-10.3%,251.8
822,757.2%,53.7%,-10.3%,171.4
823,2321.5%,89.2%,-10.0%,484.3
824,810.1%,55.5%,-16.6%,182.0
825,964.8%,60.5%,-10.3%,213.0
826,1056.0%,63.2%,-10.3%,231.2
827,931.4%,59.5%,-12.2%,206.3
828,961.5%,60.4%,-25.1%,212.3
829,281.4%,30.7%,-23.6%,76.3
830,975.4%,60.8%,-10.3%,215.1
831,388.6%,37.3%,-19.5%,97.7
832,982.0%,61.0%,-15.1%,216.4
833,1767.0%,79.6%,-10.1%,373.4
834,592.2%,47.2%,-10.3%,138.4
835,601.4%,47.6%,-10.3%,140.3
836,773.2%,54.2%,-11.3%,174.6
837,569.9%,46.3%,-18.0%,134.0
838,795.6%,55.0%,-22.2%,179.1
839,853.0%,57.0%,-16.2%,190.6
840,1206.9%,67.2%,-14.8%,261.4
841,851.5%,56.9%,-19.2%,190.3
842,410.3%,38.5%,-13.3%,102.1
843,573.3%,46.4%,-17.0%,134.7
844,501.7%,43.2%,-13.2%,120.3
845,569.9%,46.3%,-18.7%,134.0
846,599.6%,47.6%,-10.3%,139.9
847,803.6%,55.3%,-10.9%,180.7
848,183.3%,23.2%,-33.1%,56.7
849,341.5%,34.6%,-10.3%,88.3
850,745.0%,53.2%,-11.7%,169.0
851,708.7%,51.9%,-27.7%,161.7
852,357.6%,35.6%,-16.8%,91.5
853,602.4%,47.7%,-19.6%,140.5
854,1016.8%,62.0%,-14.1%,223.4
855,1182.2%,66.6%,-16.8%,256.4
856,557.8%,45.8%,-20.3%,131.6
857,863.6%,57.3%,-19.5%,192.7
858,754.0%,53.6%,-19.5%,170.8
859,654.2%,49.8%,-17.1%,150.8
860,932.4%,59.5%,-9.9%,206.5
861,762.7%,53.9%,-11.8%,172.5
862,2643.4%,93.9%,-15.1%,548.7
863,737.7%,53.0%,-16.5%,167.5
864,695.9%,51.4%,-17.0%,159.2
865,650.7%,49.7%,-13.3%,150.1
866,564.6%,46.1%,-13.2%,132.9
867,1148.4%,65.7%,-12.2%,249.7
868,536.4%,44.8%,-19.5%,127.3
869,443.6%,40.3%,-12.2%,108.7
870,793.6%,55.0%,-16.6%,178.7
871,2225.3%,87.6%,-10.3%,465.1
872,442.5%,40.2%,-19.5%,108.5
873,1900.5%,82.1%,-15.0%,400.1
874,802.7%,55.3%,-10.3%,180.5
875,425.2%,39.3%,-24.2%,105.0
876,1238.0%,68.0%,-10.3%,267.6
877,574.4%,46.5%,-14.4%,134.9
878,412.0%,38.6%,-18.4%,102.4
879,818.7%,55.8%,-13.9%,183.7
880,719.8%,52.3%,-16.3%,164.0
881,925.1%,59.3%,-16.3%,205.0
882,559.9%,45.8%,-15.0%,132.0
883,642.9%,49.3%,-15.2%,148.6
884,737.6%,53.0%,-10.4%,167.5
885,736.3%,52.9%,-14.6%,167.3
886,784.8%,54.7%,-11.3%,177.0
887,319.1%,33.2%,-25.4%,83.8
888,1203.4%,67.1%,-10.3%,260.7
889,977.8%,60.9%,-12.2%,215.6
890,763.0%,53.9%,-13.2%,172.6
891,429.1%,39.5%,-10.3%,105.8
892,880.4%,57.9%,-19.2%,196.1
893,620.6%,48.4%,-21.1%,144.1
894,1031.7%,62.5%,-6.9%,226.3
895,770.5%,54.2%,-26.4%,174.1
896,950.7%,60.1%,-10.3%,210.1
897,336.3%,34.3%,-31.0%,87.3
898,799.4%,55.2%,-10.4%,179.9
899,329.0%,33.8%,-16.5%,85.8
900,1136.4%,65.4%,-11.6%,247.3
901,878.1%,57.8%,-19.3%,195.6
902,2628.3%,93.7%,-10.3%,545.7
903,386.2%,37.2%,-30.4%,97.2
904,877.1%,57.8%,-16.2%,195.4
905,1161.4%,66.0%,-21.1%,252.3
906,272.8%,30.1%,-21.1%,74.6
907,336.4%,34.3%,-13.3%,87.3
908,918.7%,59.1%,-10.6%,203.7
909,387.9%,37.3%,-21.0%,97.6
910,1122.6%,65.0%,-15.3%,244.5
911,247.6%,28.3%,-20.8%,69.5
912,269.7%,29.9%,-26.3%,73.9
913,1696.2%,78.2%,-10.3%,359.2
914,1787.8%,80.0%,-10.3%,377.6
915,106.9%,15.6%,-21.2%,41.4
916,566.9%,46.2%,-17.8%,133.4
917,955.3%,60.2%,-16.6%,211.1
918,540.7%,45.0%,-17.6%,128.1
919,739.1%,53.0%,-10.3%,167.8
920,652.7%,49.7%,-14.4%,150.5
921,1379.7%,71.4%,-5.4%,295.9
922,465.9%,41.4%,-21.9%,113.2
923,817.8%,55.8%,-12.2%,183.6
924,330.4%,33.9%,-16.1%,86.1
925,534.0%,44.7%,-16.6%,126.8
926,861.3%,57.2%,-15.9%,192.3
927,562.1%,45.9%,-13.2%,132.4
928,731.8%,52.8%,-6.9%,166.4
929,552.4%,45.5%,-15.6%,130.5
930,971.9%,60.7%,-15.2%,214.4
931,946.0%,59.9%,-10.3%,209.2
932,764.5%,53.9%,-10.0%,172.9
933,920.8%,59.1%,-10.3%,204.2
934,979.3%,60.9%,-16.6%,215.9
935,861.5%,57.2%,-10.3%,192.3
936,465.3%,41.4%,-24.8%,113.1
937,1058.1%,63.2%,-13.2%,231.6
938,1407.7%,72.1%,-13.2%,301.5
939,765.2%,54.0%,-13.2%,173.0
940,1527.2%,74.7%,-10.0%,325.4
941,812.6%,55.6%,-13.3%,182.5
942,595.9%,47.4%,-10.3%,139.2
943,943.4%,59.8%,-10.3%,208.7
944,901.5%,58.5%,-10.3%,200.3
945,1048.5%,62.9%,-19.2%,229.7
946,1101.6%,64.4%,-10.4%,240.3
947,453.7%,40.8%,-18.4%,110.7
948,636.1%,49.1%,-13.9%,147.2
949,883.7%,58.0%,-13.2%,196.7
950,512.5%,43.7%,-22.1%,122.5
951,580.6%,46.7%,-17.8%,136.1
952,889.8%,58.2%,-12.2%,198.0
953,5246.3%,121.6%,-6.9%,1069.3
954,1192.3%,66.8%,-6.9%,258.5
955,415.9%,38.8%,-30.2%,103.2
956,1068.3%,63.5%,-10.3%,233.7
957,712.8%,52.1%,-10.6%,162.6
958,1929.0%,82.6%,-10.3%,405.8
959,1112.8%,64.7%,-14.2%,242.6
960,424.2%,39.3%,-16.5%,104.8
961,1044.8%,62.8%,-10.7%,229.0
962,598.4%,47.5%,-14.1%,139.7
963,290.2%,31.3%,-30.5%,78.0
964,510.0%,43.6%,-17.0%,122.0
965,939.7%,59.7%,-14.5%,207.9
966,422.2%,39.2%,-10.4%,104.4
967,1104.6%,64.5%,-14.8%,240.9
968,955.9%,60.2%,-10.3%,211.2
969,1061.1%,63.3%,-21.1%,232.2
970,318.8%,33.2%,-30.8%,83.8
971,1398.4%,71.8%,-12.2%,299.7
972,1573.5%,75.7%,-10.3%,334.7
973,358.8%,35.6%,-12.4%,91.8
974,449.2%,40.6%,-27.4%,109.8
975,1103.5%,64.5%,-14.4%,240.7
976,844.6%,56.7%,-3.3%,188.9
977,1552.5%,75.2%,-12.2%,330.5
978,1729.6%,78.8%,-27.9%,365.9
979,638.0%,49.1%,-24.4%,147.6
980,1088.9%,64.1%,-10.3%,237.8
981,543.4%,45.1%,-15.4%,128.7
982,1235.4%,67.9%,-13.2%,267.1
983,506.8%,43.4%,-17.0%,121.4
984,287.0%,31.1%,-13.9%,77.4
985,1632.4%,76.9%,-14.7%,346.5
986,957.9%,60.3%,-6.9%,211.6
987,2141.5%,86.3%,-10.3%,448.3
988,1241.1%,68.1%,-9.0%,268.2
989,656.0%,49.9%,-12.5%,151.2
990,269.7%,29.9%,-22.0%,73.9
991,502.9%,43.2%,-10.4%,120.6
992,793.0%,54.9%,-18.9%,178.6
993,293.3%,31.5%,-17.8%,78.7
994,588.1%,47.1%,-10.3%,137.6
995,476.1%,41.9%,-18.9%,115.2
996,705.1%,51.8%,-20.6%,161.0
997,287.6%,31.1%,-33.7%,77.5
998,761.9%,53.8%,-21.0%,172.4
999,860.7%,57.2%,-20.1%,192.1
1000,1760.9%,79.4%,-12.2%,372.2
