路径编号,5年总收益率,年化收益率,最大回撤,20万终值(万)
143,1583.3%,75.9%,-16.5%,336.7
144,605.7%,47.8%,-16.5%,141.1
145,1326.9%,70.2%,-2.2%,285.4
146,819.2%,55.8%,-10.4%,183.8
147,726.1%,52.5%,-15.1%,165.2
148,666.1%,50.3%,-19.2%,153.2
149,510.1%,43.6%,-12.2%,122.0
150,1110.5%,64.7%,-11.0%,242.1
151,320.5%,33.3%,-12.8%,84.1
152,745.3%,53.3%,-11.3%,169.1
153,203.6%,24.9%,-19.8%,60.7
154,493.5%,42.8%,-13.3%,118.7
155,605.0%,47.8%,-12.2%,141.0
156,810.7%,55.6%,-16.7%,182.1
157,618.2%,48.3%,-18.6%,143.6
158,867.9%,57.5%,-15.9%,193.6
159,811.7%,55.6%,-21.3%,182.3
160,658.3%,50.0%,-14.7%,151.7
161,891.7%,58.2%,-19.5%,198.3
162,481.9%,42.2%,-13.5%,116.4
163,783.2%,54.6%,-16.5%,176.6
164,808.0%,55.5%,-9.5%,181.6
165,1140.4%,65.5%,-10.3%,248.1
166,398.3%,37.9%,-15.3%,99.7
167,659.0%,50.0%,-10.3%,151.8
168,925.6%,59.3%,-15.3%,205.1
169,436.1%,39.9%,-23.6%,107.2
170,998.3%,61.5%,-10.3%,219.7
171,1161.6%,66.0%,-16.2%,252.3
172,467.5%,41.5%,-24.1%,113.5
173,520.7%,44.1%,-17.8%,124.1
174,864.5%,57.3%,-17.3%,192.9
175,697.3%,51.5%,-10.3%,159.5
176,405.9%,38.3%,-14.2%,101.2
177,815.5%,55.7%,-12.2%,183.1
178,295.8%,31.7%,-20.7%,79.2
179,1208.3%,67.2%,-16.4%,261.7
180,1442.9%,72.8%,-10.3%,308.6
181,575.7%,46.5%,-14.5%,135.1
182,665.3%,50.2%,-16.5%,153.1
183,482.0%,42.2%,-13.2%,116.4
184,117.0%,16.8%,-23.6%,43.4
185,414.2%,38.7%,-19.5%,102.8
186,509.5%,43.5%,-17.2%,121.9
187,1776.2%,79.7%,-11.9%,375.2
188,1617.1%,76.6%,-11.3%,343.4
189,1142.3%,65.5%,-25.4%,248.5
190,416.2%,38.9%,-25.3%,103.2
191,951.5%,60.1%,-10.3%,210.3
192,761.5%,53.8%,-17.8%,172.3
193,1617.0%,76.6%,-15.1%,343.4
194,1493.5%,74.0%,-21.6%,318.7
195,1853.6%,81.2%,-14.2%,390.7
196,642.4%,49.3%,-16.5%,148.5
197,1559.6%,75.4%,-15.2%,331.9
198,691.9%,51.3%,-13.8%,158.4
199,482.2%,42.2%,-16.6%,116.4
200,649.9%,49.6%,-15.6%,150.0
201,1456.4%,73.2%,-16.5%,311.3
202,1012.4%,61.9%,-21.9%,222.5
203,751.8%,53.5%,-16.0%,170.4
204,1635.7%,77.0%,-13.2%,347.1
205,125.9%,17.7%,-16.2%,45.2
206,901.7%,58.5%,-13.2%,200.3
207,1519.9%,74.5%,-10.3%,324.0
208,299.9%,31.9%,-22.3%,80.0
209,567.2%,46.2%,-13.0%,133.4
210,653.5%,49.8%,-12.0%,150.7
211,1244.6%,68.2%,-13.3%,268.9
212,536.4%,44.8%,-19.2%,127.3
213,1426.0%,72.5%,-9.0%,305.2
214,290.9%,31.3%,-14.9%,78.2
215,723.8%,52.5%,-13.2%,164.8
216,805.8%,55.4%,-16.5%,181.2
217,1164.4%,66.1%,-16.5%,252.9
218,557.3%,45.7%,-22.2%,131.5
219,859.3%,57.2%,-13.2%,191.9
220,616.3%,48.3%,-27.3%,143.3
221,291.8%,31.4%,-22.4%,78.4
222,520.1%,44.0%,-16.3%,124.0
223,777.2%,54.4%,-14.2%,175.4
224,521.1%,44.1%,-19.2%,124.2
225,611.7%,48.1%,-16.2%,142.3
226,392.2%,37.5%,-21.8%,98.4
227,1718.3%,78.6%,-6.9%,363.7
228,2091.4%,85.4%,-10.9%,438.3
229,1309.5%,69.8%,-17.9%,281.9
230,409.6%,38.5%,-20.2%,101.9
231,225.0%,26.6%,-23.3%,65.0
232,378.7%,36.8%,-16.2%,95.7
233,408.5%,38.4%,-25.6%,101.7
234,504.0%,43.3%,-22.2%,120.8
235,1081.6%,63.9%,-18.1%,236.3
236,641.2%,49.3%,-13.2%,148.2
237,303.1%,32.2%,-19.5%,80.6
238,226.2%,26.7%,-25.2%,65.2
239,406.1%,38.3%,-10.3%,101.2
240,2946.4%,98.0%,-3.3%,609.3
241,1173.3%,66.3%,-19.3%,254.7
242,1076.3%,63.7%,-10.3%,235.3
243,1748.5%,79.2%,-14.2%,369.7
244,1412.6%,72.2%,-11.8%,302.5
245,1339.1%,70.5%,-15.7%,287.8
246,1013.0%,61.9%,-10.3%,222.6
247,877.8%,57.8%,-10.3%,195.6
248,669.4%,50.4%,-11.6%,153.9
249,508.5%,43.5%,-24.9%,121.7
250,436.6%,39.9%,-10.4%,107.3
251,514.3%,43.8%,-14.5%,122.9
252,679.8%,50.8%,-19.1%,156.0
253,1599.4%,76.2%,-19.5%,339.9
254,553.0%,45.5%,-21.3%,130.6
255,531.7%,44.6%,-12.9%,126.3
256,357.5%,35.5%,-12.2%,91.5
257,615.8%,48.2%,-11.0%,143.2
258,1107.2%,64.6%,-16.5%,241.4
259,556.0%,45.7%,-19.6%,131.2
260,801.7%,55.2%,-11.1%,180.3
261,1406.1%,72.0%,-10.3%,301.2
262,473.0%,41.8%,-21.1%,114.6
263,319.4%,33.2%,-19.1%,83.9
264,855.5%,57.1%,-12.5%,191.1
265,502.6%,43.2%,-20.4%,120.5
266,533.6%,44.7%,-22.1%,126.7
267,499.8%,43.1%,-25.8%,120.0
268,1069.7%,63.5%,-10.4%,233.9
269,1056.0%,63.2%,-10.3%,231.2
270,876.2%,57.7%,-19.0%,195.2
271,387.0%,37.2%,-18.7%,97.4
272,364.5%,36.0%,-23.2%,92.9
273,898.3%,58.4%,-10.3%,199.7
274,1542.0%,75.0%,-6.9%,328.4
275,667.4%,50.3%,-16.5%,153.5
276,877.9%,57.8%,-10.3%,195.6
277,918.7%,59.1%,-19.5%,203.7
278,1842.9%,81.0%,-6.9%,388.6
279,1090.7%,64.1%,-19.5%,238.1
280,763.2%,53.9%,-15.2%,172.6
281,435.2%,39.9%,-17.9%,107.0
282,1495.5%,74.0%,-10.3%,319.1
283,118.3%,16.9%,-33.7%,43.7
284,963.9%,60.5%,-10.3%,212.8
285,1122.3%,65.0%,-10.3%,244.5
286,769.4%,54.1%,-10.4%,173.9
287,837.5%,56.5%,-14.6%,187.5
288,1004.0%,61.7%,-18.3%,220.8
289,1459.0%,73.2%,-12.2%,311.8
290,769.2%,54.1%,-10.3%,173.8
291,459.9%,41.1%,-16.5%,112.0
292,697.3%,51.5%,-18.6%,159.5
293,1513.0%,74.4%,-20.1%,322.6
294,1668.7%,77.6%,-10.3%,353.7
295,635.2%,49.0%,-32.3%,147.0
296,784.1%,54.6%,-14.1%,176.8
297,724.2%,52.5%,-16.9%,164.8
298,547.9%,45.3%,-10.3%,129.6
299,820.0%,55.9%,-16.5%,184.0
300,364.6%,36.0%,-21.2%,92.9
301,517.4%,43.9%,-18.3%,123.5
